Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDB23,Starchy Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0%,19.2,223.8062,3.7
Regular,FDT35,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,8%,19.85,167.6816,3.7
Regular,FDD38,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,1%,16.75,101.9674,3.7
Regular,FDI40,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,13%,11.5,100.6358,3.7
Regular,FDB29,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,5%,16.7,114.7176,3.7
Regular,FDK10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,4%,5.785,180.366,3.7
Regular,FDT09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,1%,15.15,130.0284,3.7
Low Fat,FDO12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,5%,15.75,195.8452,3.7
Low Fat,FDU23,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,12.15,163.1184,3.7
Low Fat,FDJ50,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,8.645,53.3982,3.7
Low Fat,FDX02,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,6%,16,225.9404,3.7
Low Fat,DRE03,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,19.6,45.5718,3.7
Low Fat,FDK16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,12%,9.065,97.0094,3.7
Low Fat,FDG04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,1%,13.1,188.9898,3.7
Low Fat,FDB53,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,14%,13.35,148.3392,3.7
Low Fat,NCW17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,18,129.3994,3.7
Low Fat,NCP05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,3%,19.6,152.0024,3.7
Low Fat,NCT42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,5.88,149.4392,3.7
Low Fat,NCT30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,8%,9.1,47.2718,3.7
Low Fat,NCE18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,10,248.375,3.7
Low Fat,FDL33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0%,7.235,197.2452,3.7
Low Fat,FDM21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,6%,20.2,259.4646,3.7
Regular,FDQ47,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,17%,7.155,33.7874,3.7
Regular,FDN49,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,13%,17.25,41.648,3.7
Regular,FDE51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,10%,5.925,43.8086,3.7
Regular,FDZ26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,14%,11.6,239.6222,3.7
Regular,FDQ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,4%,11.1,177.2712,3.7
Regular,FDI40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,13%,11.5,99.7358,3.7
Regular,FDJ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,5%,13.6,110.0912,3.7
Regular,FDV19,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,4%,14.85,160.9578,3.7
Regular,FDN58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,6%,13.8,231.5984,3.7
reg,FDL14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,3%,8.115,157.3972,3.7
Low Fat,FDB28,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,16%,6.615,196.3426,3.7
Low Fat,FDJ41,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,4%,6.85,261.2594,3.7
Low Fat,FDJ28,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,4%,12.3,193.3162,3.7
Low Fat,FDS40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,2%,15.35,35.219,3.7
Low Fat,FDE09,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,4%,8.775,110.7228,3.7
Low Fat,NCX05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,16%,15.2,117.6492,3.7
Low Fat,NCA54,Household,2011,OUT010,Tier 3,Medium,Grocery Store,6%,16.5,178.7318,3.7
Low Fat,NCB07,Household,2011,OUT010,Tier 3,High,Grocery Store,13%,19.2,196.211,3.7
Low Fat,FDK46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,9%,9.6,258.362,3.7
Low Fat,FDV09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,3%,12.1,146.6734,3.7
Regular,FDJ03,Dairy,2011,OUT010,Tier 3,High,Grocery Store,12%,12.35,47.8692,3.7
Regular,FDU26,Dairy,2011,OUT010,Tier 3,High,Grocery Store,7%,16.7,120.3782,3.7
Regular,FDO56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,8%,10.195,119.1808,3.7
Regular,FDT15,Meat,2011,OUT010,Tier 3,High,Grocery Store,7%,12.15,182.295,3.7
low fat,FDB60,Baking Goods,2011,OUT010,Tier 3,Small,Grocery Store,5%,9.3,195.0136,3.7
Low Fat,FDO36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,8%,19.7,179.166,3.7
Low Fat,FDT25,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,5%,7.5,123.4072,3.7
Low Fat,FDR49,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0%,8.71,46.5376,3.7
Low Fat,FDQ52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,12%,17,247.4434,3.7
Low Fat,FDI52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,10%,18.7,121.4072,3.7
Low Fat,FDX44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,4%,9.3,88.5172,3.7
Low Fat,FDG57,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,7%,14.7,47.5034,3.7
Low Fat,NCB54,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,5%,8.76,126.7336,3.7
Low Fat,NCR05,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,5%,10.1,196.5084,3.7
Low Fat,NCH07,Household,2014,OUT013,Tier 3,High,Supermarket Type1,9%,13.15,159.5604,3.7
Low Fat,NCL42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,4%,18.85,246.7144,3.7
Low Fat,NCO30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,2%,19.5,181.8608,3.7
Low Fat,NCC07,Household,2014,OUT013,Tier 3,High,Supermarket Type1,2%,19.6,103.1964,3.7
Low Fat,FDK45,Seafood,2014,OUT013,Tier 3,High,Supermarket Type1,3%,11.65,111.686,3.7
Low Fat,FDI22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,10%,12.6,208.9612,3.7
Low Fat,FDP10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,13%,19,107.6622,3.7
Low Fat,DRE12,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,7%,4.59,113.286,3.7
Low Fat,DRJ49,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0%,6.865,129.9652,3.7
Regular,FDX47,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,3%,6.55,156.5288,3.7
Regular,FDA03,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,5%,18.5,144.9102,3.7
Regular,DRM49,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,15%,6.11,43.0086,3.7
Regular,FDD47,Starchy Foods,2014,OUT013,Tier 3,High,Supermarket Type1,14%,7.6,171.3448,3.7
low fat,NCD06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,10%,13,46.306,3.7
reg,FDZ26,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,14%,11.6,240.6222,3.7
LF,FDA44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,5%,19.7,55.093,3.7
Low Fat,FDT38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,6%,18.7,85.3566,3.7
Low Fat,FDT04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0%,17.25,40.8822,3.7
Low Fat,FDK52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0%,18.25,224.1062,3.7
Low Fat,FDS07,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,10%,12.35,113.6518,3.7
Low Fat,FDF32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0%,16.35,196.3426,3.7
Low Fat,NCV41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,2%,14.35,110.3228,3.7
Low Fat,NCH54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,7%,13.5,160.692,3.7
Low Fat,FDJ07,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,1%,7.26,118.115,3.7
Low Fat,FDL15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,5%,17.85,153.6682,3.7
Low Fat,NCM07,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,4%,9.395,85.1908,3.7
Low Fat,FDI57,Seafood,2022,OUT018,Tier 3,Medium,Supermarket Type2,5%,19.85,196.0768,3.7
Low Fat,FDA10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,14%,20.35,122.7072,3.7
Low Fat,FDL46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,5%,20.35,117.3466,3.7
Low Fat,FDC35,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,12%,7.435,206.1638,3.7
Regular,FDI36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,6%,12.5,196.9426,3.7
Regular,FDW02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,4%,4.805,126.2704,3.7
Regular,FDZ28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,5%,20,125.8678,3.7
Regular,FDF08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0%,14.3,89.8856,3.7
low fat,FDV49,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,3%,10,264.7226,3.7
reg,FDU19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,5%,8.77,173.8422,3.7
Low Fat,FDZ52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,10%,,109.1886,3.7
Low Fat,NCA42,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,3%,,158.0604,3.7
Low Fat,NCQ50,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,3%,,211.9218,3.7
Low Fat,FDU39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,4%,,58.3562,3.7
Low Fat,FDF58,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,1%,,64.551,3.7
Low Fat,FDH34,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,3%,,186.6582,3.7
Low Fat,FDK57,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,8%,,120.044,3.7
Low Fat,FDM10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,8%,,215.1218,3.7
Low Fat,FDQ22,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,3%,,40.9822,3.7
Low Fat,DRI01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,3%,,173.1422,3.7
Regular,FDT24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0%,,75.9328,3.7
Regular,FDT47,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,2%,,95.9068,3.7
Regular,FDD40,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,1%,,193.6162,3.7
Regular,FDG56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,7%,,60.5536,3.7
Regular,FDQ45,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,1%,,185.3608,3.7
Regular,DRC01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,2%,,48.4692,3.7
Regular,FDD59,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,7%,,81.896,3.7
Regular,FDO10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,1%,13.65,57.6588,3.6
Low Fat,FDG02,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,1%,7.855,189.6188,3.6
Regular,FDH14,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,5%,17.1,141.1838,3.6
Regular,FDG12,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0%,6.635,121.3098,3.6
Low Fat,NCC31,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,8.02,154.5972,3.6
Low Fat,FDW11,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,5%,12.6,61.9194,3.6
Regular,FDE40,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,10%,,62.9194,3.6
Regular,FDG33,Seafood,2018,OUT027,Tier 3,Medium,Supermarket Type3,14%,,170.4764,3.6
Low Fat,FDA33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,6.48,148.0076,3.6
LF,FDC15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,18%,18.1,155.5288,3.6
Regular,DRB48,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0%,16.75,39.3822,3.6
low fat,FDK48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0%,7.445,76.8354,3.6
reg,FDH45,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,11%,15.1,42.8796,3.6
Regular,FDW22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,3%,9.695,222.9114,3.6
Regular,FDO27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,18%,6.175,95.2752,3.6
Regular,FDS33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,12%,,86.9514,3.6
Low Fat,NCZ06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,9%,19.6,252.2698,3.6
Regular,FDA52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,13%,16.2,178.437,3.6
Regular,FDM60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,5%,10.8,41.5138,3.6
Regular,FDO10,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,2%,13.65,58.3588,3.6
LF,FDD36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,2%,13.3,119.8124,3.6
Low Fat,FDU02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,10%,13.35,228.6352,3.6
Low Fat,FDB08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,3%,6.055,158.7578,3.6
Low Fat,DRM23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,14%,16.6,172.0422,3.6
Low Fat,NCD31,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,2%,12.1,166.0526,3.6
Regular,FDV37,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,8%,13,196.0426,3.6
Regular,FDT55,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0%,13.6,156.4946,3.6
Low Fat,FDL16,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,29%,,47.106,3.6
Low Fat,DRK11,Hard Drinks,2018,OUT019,Tier 1,Small,Grocery Store,2%,,148.0392,3.6
Low Fat,NCM26,Others,2018,OUT019,Tier 1,Small,Grocery Store,4%,,153.934,3.6
Low Fat,FDK09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,16%,,227.5352,3.6
Low Fat,FDT46,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,5%,,52.1008,3.6
Regular,FDP13,Canned,2018,OUT019,Tier 1,Small,Grocery Store,24%,,41.548,3.6
Regular,FDO03,Meat,2018,OUT019,Tier 1,Small,Grocery Store,6%,,230.5352,3.6
Regular,FDO09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0%,,262.891,3.6
LF,FDD17,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,7.5,235.9906,3.6
LF,FDC20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,2%,10.65,54.0272,3.6
LF,NCI18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,1%,18.35,224.5746,3.6
Low Fat,FDW13,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,10%,8.5,52.5324,3.6
Low Fat,FDA50,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,9%,16.25,98.341,3.6
Low Fat,FDT43,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,2%,16.35,51.2324,3.6
Low Fat,FDD57,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,2%,18.1,96.0094,3.6
Low Fat,DRG11,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0%,6.385,108.9596,3.6
Low Fat,NCB30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,14.6,199.9084,3.6
Low Fat,NCR50,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,1%,20.2,151.634,3.6
Low Fat,FDX21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,8%,7.05,111.1912,3.6
Low Fat,FDJ46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,4%,11.1,174.2054,3.6
Low Fat,FDX45,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0%,16.75,156.163,3.6
Regular,FDN23,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,8%,6.575,146.4444,3.6
Regular,FDV52,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,12%,20.7,118.0466,3.6
Regular,FDQ07,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,9%,15.1,221.8456,3.6
Regular,FDX56,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,7%,17.1,209.0638,3.6
low fat,NCE43,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,10%,12.5,170.8448,3.6
LF,NCD07,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0%,9.1,115.4518,3.6
Low Fat,FDX13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,5%,7.725,250.2092,3.6
Low Fat,FDR26,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,4%,20.7,178.3028,3.6
Low Fat,FDD05,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,2%,19.35,120.9098,3.6
Low Fat,FDQ20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,3%,8.325,41.6138,3.6
Low Fat,NCI29,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,8.6,140.9154,3.6
Low Fat,NCP55,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,1%,14.65,55.6614,3.6
Low Fat,FDI46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,7%,9.5,251.9724,3.6
Low Fat,FDI33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,16.5,91.0146,3.6
Low Fat,DRE49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,20.75,151.9024,3.6
Low Fat,FDF02,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,10%,16.2,102.499,3.6
Low Fat,NCP05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,19.6,151.7024,3.6
Low Fat,NCW30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,1%,5.21,257.8962,3.6
Low Fat,NCL54,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,8%,12.6,174.5054,3.6
Low Fat,NCF42,Household,2020,OUT017,Tier 2,High,Supermarket Type1,17%,17.35,176.7712,3.6
Low Fat,NCP30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,3%,20.5,39.3822,3.6
Low Fat,NCO43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,5%,5.5,100.0016,3.6
Low Fat,FDC46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,12%,17.7,184.0266,3.6
Regular,FDL13,Breakfast,2015,OUT045,Tier 2,High,Supermarket Type1,6%,13.85,234.93,3.6
Regular,FDE41,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,6%,9.195,85.9566,3.6
Regular,FDR27,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,10%,15.1,133.4942,3.6
Regular,FDL21,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,1%,15.85,39.348,3.6
Regular,FDZ36,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,7%,6.035,184.424,3.6
Regular,FDW12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,4%,8.315,144.3444,3.6
Regular,FDK25,Breakfast,2020,OUT017,Tier 2,High,Supermarket Type1,16%,11.6,168.3474,3.6
Regular,FDP08,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,11%,20.5,194.1478,3.6
Regular,FDM15,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,6%,11.8,152.4366,3.6
low fat,DRF60,Soft Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,5%,10.8,240.3564,3.6
low fat,FDX58,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,4%,13.15,181.295,3.6
Low Fat,FDP11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,7%,15.85,218.7166,3.6
Low Fat,DRI39,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,10%,13.8,57.493,3.6
Low Fat,FDF04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,1%,17.5,256.4304,3.6
Low Fat,FDY31,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,4%,5.98,148.2418,3.6
Low Fat,FDR43,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,16%,18.2,37.819,3.6
Low Fat,NCC30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,3%,16.6,176.6344,3.6
Low Fat,FDQ10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,3%,12.85,172.0422,3.6
Low Fat,FDL22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,4%,16.85,91.0488,3.6
Low Fat,DRG13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,4%,17.25,162.5526,3.6
Regular,FDM04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,5%,9.195,52.0666,3.6
Regular,FDA04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,7%,11.3,260.8962,3.6
Low Fat,FDE26,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,15%,9.3,143.0786,3.6
Low Fat,FDA19,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,9%,7.52,128.7994,3.6
Low Fat,NCJ30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,13%,5.82,170.579,3.6
Low Fat,NCF18,Household,2011,OUT010,Tier 3,Medium,Grocery Store,15%,18.35,191.9504,3.6
Low Fat,DRA12,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,7%,11.6,143.0154,3.6
Regular,FDN03,Meat,2011,OUT010,Tier 3,High,Grocery Store,3%,9.8,248.5408,3.6
Regular,FDV22,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,2%,14.85,157.563,3.6
LF,NCA17,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,5%,20.6,148.4392,3.6
Low Fat,FDP38,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,3%,10.1,50.9008,3.6
Low Fat,FDD50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,14%,18.85,168.4132,3.6
Low Fat,FDA50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,9%,16.25,96.041,3.6
Low Fat,FDX20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,4%,7.365,228.372,3.6
Low Fat,FDA56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,1%,9.21,120.8414,3.6
Low Fat,FDB33,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,1%,17.75,158.1262,3.6
Low Fat,FDL44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,1%,18.25,162.8894,3.6
Low Fat,DRH23,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,17%,14.65,55.2614,3.6
Low Fat,NCK29,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,13%,5.615,123.473,3.6
Low Fat,NCN43,Others,2014,OUT013,Tier 3,High,Supermarket Type1,1%,12.15,122.173,3.6
Low Fat,NCM19,Others,2014,OUT013,Tier 3,High,Supermarket Type1,5%,12.65,114.1202,3.6
Low Fat,FDC47,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,12%,15,229.9694,3.6
Low Fat,FDR10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,1%,17.6,161.5552,3.6
Regular,FDP36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,9%,10.395,52.3008,3.6
Regular,FDI04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,7%,13.65,197.1426,3.6
Regular,FDU16,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,6%,19.25,85.2908,3.6
Regular,FDG56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,7%,13.3,61.0536,3.6
Regular,FDF08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,7%,14.3,88.4856,3.6
LF,NCM54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,5%,17.7,127.3678,3.6
LF,FDV21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,17%,11.5,126.0704,3.6
Low Fat,FDS12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,17%,9.1,127.2362,3.6
Low Fat,FDX16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0%,17.85,148.005,3.6
Low Fat,FDM32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,2%,20.5,88.183,3.6
Low Fat,NCM06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,8%,7.475,153.9656,3.6
Low Fat,NCN18,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,13%,8.895,113.3544,3.6
Low Fat,NCF07,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,3%,9,102.0016,3.6
Low Fat,NCB43,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,10%,20.2,188.6898,3.6
Low Fat,FDV15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,15%,10.3,102.3648,3.6
Low Fat,FDX34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7%,6.195,120.6098,3.6
